pointorder,lat,lon,time,ele,distance,seconds,pace
1,53.3616270,-2.9324370,2019-01-22 16:44:23,6.1,0.0,0,0.0
2,53.3616450,-2.9324870,2019-01-22 16:44:26,6.1,0.00387480908071,3.0,12.5423169439
3,53.3616580,-2.9325280,2019-01-22 16:44:27,6.1,0.00308081407915,1.0,5.24589531958
4,53.3616760,-2.9325660,2019-01-22 16:44:28,6.1,0.00321936502536,1.0,5.10620259623
5,53.3616930,-2.9326010,2019-01-22 16:44:29,6.2,0.00299453617902,1.0,5.3394153225
6,53.3617120,-2.9326360,2019-01-22 16:44:30,6.2,0.00313966125742,1.0,5.18505697911
7,53.3617590,-2.9326920,2019-01-22 16:44:32,6.2,0.00641258694125,2.0,5.1188660962
8,53.3617830,-2.9327310,2019-01-22 16:44:33,6.2,0.0037174096185,1.0,4.29004522672
9,53.3618020,-2.9327740,2019-01-22 16:44:34,6.2,0.00355035965834,1.0,4.41661605086
10,53.3618210,-2.9328180,2019-01-22 16:44:35,6.3,0.0036039041977,1.0,4.37476854306
11,53.3618400,-2.9328530,2019-01-22 16:44:36,6.3,0.00313965609715,1.0,5.185062214
12,53.3618580,-2.9328930,2019-01-22 16:44:37,6.3,0.00332432789397,1.0,5.00812685119
13,53.3618850,-2.9329570,2019-01-22 16:44:39,6.3,0.00520087191791,2.0,6.24550904457
14,53.3619020,-2.9329930,2019-01-22 16:44:40,6.3,0.00304627978327,1.0,5.2826925665
15,53.3619170,-2.9330390,2019-01-22 16:44:41,6.3,0.00347837799693,1.0,4.47490319017
16,53.3619530,-2.9331080,2019-01-22 16:44:43,6.3,0.00608175101765,2.0,5.28852660064
17,53.3619700,-2.9331460,2019-01-22 16:44:44,6.3,0.00315142386292,1.0,5.1731688389
18,53.3620060,-2.9332100,2019-01-22 16:44:46,6.3,0.00583605473158,2.0,5.42697265873
19,53.3620380,-2.9332810,2019-01-22 16:44:48,6.3,0.00590401582432,2.0,5.38752479585
20,53.3620690,-2.9333550,2019-01-22 16:44:50,6.3,0.00599948262188,2.0,5.33362079041
21,53.3620840,-2.9333960,2019-01-22 16:44:51,6.3,0.00319118617415,1.0,5.13363102441
22,53.3621010,-2.9334350,2019-01-22 16:44:52,6.4,0.00320475829723,1.0,5.1203601247
23,53.3621180,-2.9334750,2019-01-22 16:44:53,6.4,0.00325857620716,1.0,5.06882496044
24,53.3621410,-2.9335400,2019-01-22 16:44:55,6.4,0.00501437864518,2.0,6.38853006827
25,53.3621640,-2.9336060,2019-01-22 16:44:57,6.4,0.00507156622903,2.0,6.34355492895
26,53.3621900,-2.9336730,2019-01-22 16:44:59,6.5,0.00530320019167,2.0,6.17130775327
27,53.3622160,-2.9337420,2019-01-22 16:45:01,6.5,0.0054149384556,2.0,6.09348611513
28,53.3622420,-2.9338120,2019-01-22 16:45:03,6.5,0.00547115771037,2.0,6.05553344625
29,53.3622760,-2.9338960,2019-01-22 16:45:05,6.5,0.0067350962148,2.0,4.56951956767
30,53.3622930,-2.9339370,2019-01-22 16:45:06,6.5,0.0033128406069,1.0,5.01855754218
31,53.3623230,-2.9340130,2019-01-22 16:45:08,6.5,0.00604650411719,2.0,5.30769641637
32,53.3623430,-2.9340530,2019-01-22 16:45:09,6.5,0.00346275664598,1.0,4.48787258891
33,53.3623610,-2.9340910,2019-01-22 16:45:10,6.5,0.00321933327495,1.0,5.10623323091
34,53.3623810,-2.9341280,2019-01-22 16:45:11,6.5,0.00331263594421,1.0,5.01874403599
35,53.3623990,-2.9341700,2019-01-22 16:45:12,6.5,0.00343119270945,1.0,4.51443846114
36,53.3624290,-2.9342430,2019-01-22 16:45:14,6.5,0.00588148855207,2.0,5.40049969033
37,53.3624460,-2.9342840,2019-01-22 16:45:15,6.5,0.00331283258408,1.0,5.01856485234
38,53.3624640,-2.9343260,2019-01-22 16:45:16,6.5,0.00343118925674,1.0,4.51444139386
39,53.3624820,-2.9343670,2019-01-22 16:45:17,6.5,0.00337751362778,1.0,4.56075785387
40,53.3624990,-2.9344070,2019-01-22 16:45:18,6.5,0.00325855687569,1.0,5.06884316631
41,53.3625180,-2.9344540,2019-01-22 16:45:19,6.5,0.00376694608351,1.0,4.25467032931
42,53.3625400,-2.9344930,2019-01-22 16:45:20,6.5,0.00356109243346,1.0,4.40812705282
43,53.3625720,-2.9345670,2019-01-22 16:45:22,6.5,0.00606400648673,2.0,5.29814950623
44,53.3625910,-2.9346050,2019-01-22 16:45:23,6.5,0.00328960754247,1.0,5.03987629858
45,53.3626090,-2.9346460,2019-01-22 16:45:24,6.5,0.00337750709617,1.0,4.56076357955
46,53.3626260,-2.9346860,2019-01-22 16:45:25,6.5,0.00325855043145,1.0,5.06884923538
47,53.3626490,-2.9347530,2019-01-22 16:45:27,6.5,0.00512893275763,2.0,6.29944671632
48,53.3626740,-2.9348280,2019-01-22 16:45:29,6.4,0.0057004163525,2.0,5.50851565276
49,53.3627040,-2.9349010,2019-01-22 16:45:31,6.4,0.00588146280443,2.0,5.4005145769
50,53.3627310,-2.9349760,2019-01-22 16:45:33,6.4,0.00581210546241,2.0,5.44109378767
51,53.3627490,-2.9350160,2019-01-22 16:45:34,6.4,0.00332428357977,1.0,5.00816695088
52,53.3627660,-2.9350530,2019-01-22 16:45:35,6.4,0.00309854949078,1.0,5.22731653303
53,53.3627980,-2.9351280,2019-01-22 16:45:37,6.3,0.00611784004978,2.0,5.26912763937
54,53.3628170,-2.9351740,2019-01-22 16:45:38,6.3,0.00371217822576,1.0,4.29383617699
55,53.3628370,-2.9352150,2019-01-22 16:45:39,6.3,0.00351385301531,1.0,4.44587885618
56,53.3628540,-2.9352560,2019-01-22 16:45:40,6.4,0.00331281119134,1.0,5.01858434496
57,53.3628730,-2.9353000,2019-01-22 16:45:41,6.4,0.00360384579932,1.0,4.37481350669
58,53.3628900,-2.9353400,2019-01-22 16:45:42,6.4,0.0032585370368,1.0,5.06886185029
59,53.3629070,-2.9353750,2019-01-22 16:45:43,6.4,0.00299448486038,1.0,5.33947255246
60,53.3629280,-2.9354160,2019-01-22 16:45:44,6.4,0.00358525708304,1.0,4.3892002633
61,53.3629440,-2.9354540,2019-01-22 16:45:45,6.4,0.00308596164275,1.0,5.24048097729
62,53.3629610,-2.9354940,2019-01-22 16:45:46,6.4,0.00325853343391,1.0,5.06886524347
63,53.3629770,-2.9355310,2019-01-22 16:45:47,6.5,0.00303198397454,1.0,5.29817046659
64,53.3629920,-2.9355690,2019-01-22 16:45:48,6.5,0.00302321866886,1.0,5.30773294801
65,53.3630240,-2.9356410,2019-01-22 16:45:50,6.5,0.00595701258005,2.0,5.35738757158
66,53.3630430,-2.9356790,2019-01-22 16:45:51,6.5,0.00328958703906,1.0,5.0398952456
67,53.3630650,-2.9357250,2019-01-22 16:45:52,6.5,0.00391164539849,1.0,4.15646894881
68,53.3630840,-2.9357610,2019-01-22 16:45:53,6.5,0.00318900213801,1.0,5.13577713882
69,53.3631010,-2.9358000,2019-01-22 16:45:54,6.5,0.00320470925368,1.0,5.12040787741
70,53.3631170,-2.9358390,2019-01-22 16:45:55,6.5,0.00314040346626,1.0,5.18430421678
71,53.3631320,-2.9358810,2019-01-22 16:45:56,6.5,0.00324788373809,1.0,5.07892794398
72,53.3631640,-2.9359490,2019-01-22 16:45:58,6.5,0.00574632122222,2.0,5.48048764184
73,53.3631900,-2.9360210,2019-01-22 16:46:00,6.6,0.00558417740972,2.0,5.58154810146
74,53.3632060,-2.9360600,2019-01-22 16:46:01,6.6,0.00314039901117,1.0,5.18430873415
75,53.3632240,-2.9360990,2019-01-22 16:46:02,6.6,0.00327152469122,1.0,5.05667874885
76,53.3632420,-2.9361370,2019-01-22 16:46:03,6.6,0.00321929244119,1.0,5.10627263061
77,53.3632580,-2.9361750,2019-01-22 16:46:04,6.6,0.00308594645961,1.0,5.24049692077
78,53.3632720,-2.9362200,2019-01-22 16:46:05,6.6,0.00336738639982,1.0,4.56966216902
79,53.3632840,-2.9362640,2019-01-22 16:46:06,6.7,0.00321005966614,1.0,5.11520689334
80,53.3633020,-2.9362980,2019-01-22 16:46:07,6.7,0.00301592281896,1.0,5.31573471879
81,53.3633330,-2.9363840,2019-01-22 16:46:09,6.7,0.006666777428,2.0,4.59995015823
82,53.3633510,-2.9364260,2019-01-22 16:46:10,6.8,0.00343114213426,1.0,4.5144814201
83,53.3633790,-2.9364940,2019-01-22 16:46:12,6.8,0.00548202201829,2.0,6.04828888561
84,53.3634040,-2.9365590,2019-01-22 16:46:14,6.8,0.0051312635068,2.0,6.29767548938
85,53.3634180,-2.9366010,2019-01-22 16:46:15,6.9,0.00319219035975,1.0,5.13264526016
86,53.3634450,-2.9366780,2019-01-22 16:46:17,6.9,0.0059260621874,2.0,5.37492239662
87,53.3634610,-2.9367220,2019-01-22 16:46:18,6.8,0.00341894953963,1.0,4.52487498984
88,53.3634760,-2.9367690,2019-01-22 16:46:19,6.8,0.00353665069438,1.0,4.42753397611
89,53.3635010,-2.9368460,2019-01-22 16:46:21,6.7,0.00581655007668,2.0,5.43846433648
90,53.3635170,-2.9368880,2019-01-22 16:46:22,6.6,0.00330634273283,1.0,5.02448983909
91,53.3635270,-2.9369370,2019-01-22 16:46:23,6.6,0.00343623087627,1.0,4.51016534106
92,53.3635470,-2.9370180,2019-01-22 16:46:25,6.4,0.00581659924174,2.0,5.43843527271
93,53.3635570,-2.9370630,2019-01-22 16:46:26,6.3,0.00318625126637,1.0,5.13848443327
94,53.3635860,-2.9371370,2019-01-22 16:46:28,6.1,0.00587438136137,2.0,5.40461382564
95,53.3636100,-2.9372080,2019-01-22 16:46:30,5.9,0.00541447590319,2.0,6.09380164537
96,53.3636390,-2.9372870,2019-01-22 16:46:32,5.7,0.00615438568729,2.0,5.24971508388
97,53.3636530,-2.9373300,2019-01-22 16:46:33,5.7,0.00325026675762,1.0,5.07667054605
98,53.3636690,-2.9373720,2019-01-22 16:46:34,5.7,0.00330633435333,1.0,5.02449750429
99,53.3636850,-2.9374080,2019-01-22 16:46:35,5.7,0.00297847620952,1.0,5.35742147882
100,53.3637160,-2.9374860,2019-01-22 16:46:37,5.8,0.0062184274819,2.0,5.21624720369
101,53.3637360,-2.9375250,2019-01-22 16:46:38,5.7,0.00341209625717,1.0,4.53074967595
102,53.3637550,-2.9375630,2019-01-22 16:46:39,5.7,0.00328955474301,1.0,5.03992509054
103,53.3637710,-2.9376020,2019-01-22 16:46:40,5.7,0.00314037073484,1.0,5.18433740611
104,53.3638000,-2.9376730,2019-01-22 16:46:42,5.7,0.00570901887997,2.0,5.50322891209
105,53.3638260,-2.9377430,2019-01-22 16:46:44,5.7,0.0054710111144,2.0,6.05563139642
106,53.3638410,-2.9377810,2019-01-22 16:46:45,5.7,0.00302317676581,1.0,5.30777879517
107,53.3638640,-2.9378530,2019-01-22 16:46:47,5.7,0.0054189260753,2.0,6.0907681932
108,53.3638800,-2.9379010,2019-01-22 16:46:48,5.7,0.00364818746906,1.0,4.34108720695
109,53.3638940,-2.9379480,2019-01-22 16:46:49,5.7,0.00348556194051,1.0,4.46897784939
110,53.3639240,-2.9380250,2019-01-22 16:46:51,5.7,0.00610179688761,2.0,5.27772300003
111,53.3639380,-2.9380650,2019-01-22 16:46:52,5.7,0.0030769848221,1.0,5.24993478297
112,53.3639550,-2.9381080,2019-01-22 16:46:53,5.7,0.00342257215491,1.0,4.52177916123
113,53.3639740,-2.9381530,2019-01-22 16:46:54,5.7,0.00365774655495,1.0,4.33392370132
114,53.3639910,-2.9381940,2019-01-22 16:46:55,5.7,0.00331275157305,1.0,5.01863866924
115,53.3640090,-2.9382360,2019-01-22 16:46:56,5.7,0.00343110717772,1.0,4.51451111318
116,53.3640290,-2.9382770,2019-01-22 16:46:57,5.7,0.00351379409001,1.0,4.44592658074
117,53.3640460,-2.9383150,2019-01-22 16:46:58,5.7,0.00315132556651,1.0,5.17326781666
118,53.3640740,-2.9383840,2019-01-22 16:47:00,5.7,0.00553670271536,2.0,6.01225823892
119,53.3641010,-2.9384440,2019-01-22 16:47:02,5.7,0.00498632484088,2.0,6.41097013095
120,53.3641170,-2.9384830,2019-01-22 16:47:03,5.7,0.00314035341818,1.0,5.1843549653
121,53.3641440,-2.9385520,2019-01-22 16:47:05,5.7,0.00547494022324,2.0,6.05300792054
122,53.3641700,-2.9386220,2019-01-22 16:47:07,5.7,0.00547097927742,2.0,6.05565266945
123,53.3641930,-2.9386810,2019-01-22 16:47:09,5.6,0.00467617148845,2.0,7.07700311022
124,53.3642230,-2.9387560,2019-01-22 16:47:11,5.6,0.00599108792287,2.0,5.33829185241
125,53.3642400,-2.9387980,2019-01-22 16:47:12,5.6,0.00336744133741,1.0,4.56961372093
126,53.3642570,-2.9388390,2019-01-22 16:47:13,5.6,0.00331273762545,1.0,5.01865137859
127,53.3642750,-2.9388770,2019-01-22 16:47:14,5.6,0.00321924456163,1.0,5.10631882994
128,53.3642950,-2.9389240,2019-01-22 16:47:15,5.6,0.00383031068328,1.0,4.21075427737
129,53.3643130,-2.9389640,2019-01-22 16:47:16,5.6,0.00332420579319,1.0,5.00823734213
130,53.3643450,-2.9390390,2019-01-22 16:47:18,5.6,0.0061176930694,2.0,5.26920618166
131,53.3643610,-2.9390820,2019-01-22 16:47:19,5.6,0.00336241320168,1.0,4.57405446629
132,53.3643770,-2.9391190,2019-01-22 16:47:20,5.6,0.00303191865321,1.0,5.2982415242
133,53.3644060,-2.9391960,2019-01-22 16:47:22,5.6,0.00604167523628,2.0,5.31034013214
134,53.3644310,-2.9392640,2019-01-22 16:47:24,5.6,0.00529958801169,2.0,6.17387826297
135,53.3644480,-2.9393100,2019-01-22 16:47:25,5.6,0.00359017033737,1.0,4.38538316021
136,53.3644760,-2.9393860,2019-01-22 16:47:27,5.6,0.00592649817555,2.0,5.37467411743
137,53.3645110,-2.9394640,2019-01-22 16:47:29,5.6,0.0064754939237,2.0,5.08856748777
138,53.3645470,-2.9395370,2019-01-22 16:47:31,5.6,0.00628377639009,2.0,5.18279944391
139,53.3645660,-2.9395840,2019-01-22 16:47:32,5.6,0.00376682197997,1.0,4.25475779136
140,53.3645840,-2.9396280,2019-01-22 16:47:33,5.6,0.00353970906029,1.0,4.425090941
141,53.3646000,-2.9396670,2019-01-22 16:47:34,5.6,0.00314032924443,1.0,5.18437947796
142,53.3646360,-2.9397470,2019-01-22 16:47:36,5.6,0.0066483803519,2.0,5.00825147501
143,53.3646510,-2.9397850,2019-01-22 16:47:37,5.6,0.00302313678707,1.0,5.30782253809
144,53.3646750,-2.9398460,2019-01-22 16:47:39,5.4,0.00484809079071,2.0,6.52533528422
145,53.3647050,-2.9399080,2019-01-22 16:47:41,5.4,0.00529636874152,2.0,6.17617212397
146,53.3647260,-2.9399680,2019-01-22 16:47:43,5.6,0.00461541400344,2.0,7.13330574139
147,53.3647570,-2.9400480,2019-01-22 16:47:45,5.8,0.00632919849093,2.0,5.15995777802
148,53.3647860,-2.9400960,2019-01-22 16:47:46,5.8,0.00453232455347,1.0,3.4063733261
149,53.3648130,-2.9401480,2019-01-22 16:47:47,5.8,0.00457364028346,1.0,3.38644217302
150,53.3648360,-2.9402010,2019-01-22 16:47:48,5.7,0.00434828477568,1.0,3.49975737926
151,53.3648590,-2.9402430,2019-01-22 16:47:49,5.7,0.00378244251885,1.0,4.24379430756
